element  representation   property  eta           sigma         kernel
C        atom             charge    1.000000E-10  1.000000E+01  G
C        atom             shield    3.162278E-08  1.000000E-01  G
C        atom-huckel      charge    3.162278E-08  3.162278E-01  G
C        atom-huckel      shield    3.162278E-08  3.162278E-01  G
C        atom-pbe0        charge    3.162278E-08  1.000000E-01  G
C        atom-pbe0        shield    3.162278E-08  1.000000E-01  G
C        bond             charge    1.000000E-10  3.162278E-02  G
C        bond             shield    1.000000E-05  1.000000E-01  L
C        bond-huckel      charge    1.000000E-10  3.162278E-02  G
C        bond-huckel      shield    1.000000E-05  1.000000E-01  L
C        bond-only-m0     charge    1.000000E-10  3.162278E-03  G
C        bond-only-m0     shield    1.000000E-05  1.000000E-02  L
C        bond-only-s      charge    3.162278E-03  1.000000E-04  L
C        bond-only-s      shield    3.162278E-03  1.000000E-04  L
C        bond-pbe0        charge    3.162278E-08  3.162278E-03  G
C        bond-pbe0        shield    1.000000E-10  1.000000E-02  G
C        bond-same-basis  charge    1.000000E-10  3.162278E-02  G
C        bond-same-basis  shield    1.000000E-05  1.000000E-01  L
C        slatm            charge    3.162278E-03  3.162278E+01  L
C        slatm            shield    3.162278E-03  1.000000E+01  L
C        soap             charge    3.162278E-03  -             -
C        soap             shield    1.000000E-05  -             -
H        atom             charge    3.162278E-08  1.000000E-05  G
H        atom             shield    3.162278E-08  1.000000E-05  G
H        atom-huckel      charge    3.162278E-08  1.000000E-04  G
H        atom-huckel      shield    3.162278E-08  1.000000E-04  G
H        atom-pbe0        charge    3.162278E-08  1.000000E-04  G
H        atom-pbe0        shield    3.162278E-08  3.162278E-05  G
H        bond             charge    3.162278E-08  1.000000E-05  G
H        bond             shield    3.162278E-03  1.000000E-02  L
H        bond-huckel      charge    1.000000E-05  3.162278E+00  L
H        bond-huckel      shield    3.162278E-08  1.000000E-05  G
H        bond-only-m0     charge    3.162278E-03  3.162278E-03  L
H        bond-only-m0     shield    3.162278E-03  1.000000E-03  L
H        bond-only-s      charge    1.000000E-10  3.162278E+03  L
H        bond-only-s      shield    1.000000E-10  1.000000E+04  L
H        bond-pbe0        charge    3.162278E-08  1.000000E-04  G
H        bond-pbe0        shield    3.162278E-03  1.000000E-02  L
H        bond-same-basis  charge    3.162278E-08  1.000000E-05  G
H        bond-same-basis  shield    3.162278E-03  1.000000E-02  L
H        slatm            charge    3.162278E-03  3.162278E+00  L
H        slatm            shield    3.162278E-03  1.000000E+00  L
H        soap             charge    3.162278E-03  -             -
H        soap             shield    1.000000E-05  -             -
N        atom             charge    1.000000E-10  1.000000E+01  G
N        atom             shield    1.000000E-10  1.000000E+01  G
N        atom-huckel      charge    1.000000E-10  1.000000E+01  G
N        atom-huckel      shield    1.000000E-10  1.000000E+01  G
N        atom-pbe0        charge    1.000000E-10  1.000000E+01  G
N        atom-pbe0        shield    3.162278E-08  3.162278E-01  G
N        bond             charge    3.162278E-08  1.000000E-02  G
N        bond             shield    1.000000E-05  1.000000E-01  L
N        bond-huckel      charge    3.162278E-03  1.000000E-01  L
N        bond-huckel      shield    3.162278E-03  1.000000E-01  L
N        bond-only-m0     charge    1.000000E-10  1.000000E-02  G
N        bond-only-m0     shield    3.162278E-03  1.000000E-02  L
N        bond-only-s      charge    1.000000E-05  3.162278E-02  L
N        bond-only-s      shield    3.162278E-03  3.162278E-04  L
N        bond-pbe0        charge    3.162278E-08  1.000000E-02  G
N        bond-pbe0        shield    3.162278E-08  1.000000E-02  G
N        bond-same-basis  charge    3.162278E-03  3.162278E-01  L
N        bond-same-basis  shield    1.000000E-10  1.000000E-01  G
