element  representation   property  eta           sigma         kernel
N        slatm            charge    3.162278E-03  3.162278E+01  L
N        slatm            shield    3.162278E-03  1.000000E+01  L
N        soap             charge    3.162278E-03  -             -
N        soap             shield    3.162278E-03  -             -
O        atom             charge    1.000000E-10  3.162278E+01  G
O        atom             shield    3.162278E-08  3.162278E-01  G
O        atom-huckel      charge    3.162278E-08  3.162278E-01  G
O        atom-huckel      shield    3.162278E-08  3.162278E-01  G
O        atom-pbe0        charge    3.162278E-08  3.162278E-01  G
O        atom-pbe0        shield    3.162278E-08  3.162278E-01  G
O        bond             charge    3.162278E-08  1.000000E-03  G
O        bond             shield    3.162278E-08  3.160000E-04  G
O        bond-huckel      charge    3.162278E-08  3.162278E-04  G
O        bond-huckel      shield    1.000000E-05  3.162278E+01  L
O        bond-only-m0     charge    3.162278E-08  1.000000E-04  G
O        bond-only-m0     shield    3.162278E-08  1.000000E-05  G
O        bond-only-s      charge    3.162278E-08  1.000000E-08  G
O        bond-only-s      shield    3.162278E-03  3.162278E-05  L
O        bond-pbe0        charge    1.000000E-10  3.162278E-02  G
O        bond-pbe0        shield    3.162278E-08  3.162278E-04  G
O        bond-same-basis  charge    3.162278E-08  1.000000E-03  G
O        bond-same-basis  shield    1.000000E-05  3.162278E+01  L
O        slatm            charge    3.162278E-03  3.162278E+01  L
O        slatm            shield    3.162278E-03  1.000000E+01  L
O        soap             charge    3.162278E-03  -             -
O        soap             shield    3.162278E-03  -             -
S        atom             charge    1.000000E-10  1.000000E+03  G
S        atom             shield    1.000000E-10  1.000000E+03  G
S        atom-huckel      charge    3.162278E-08  1.000000E+02  G
S        atom-huckel      shield    3.162278E-08  3.162278E+01  G
S        atom-pbe0        charge    1.000000E-10  3.162278E+02  G
S        atom-pbe0        shield    1.000000E-10  3.162278E+02  G
S        bond             charge    1.000000E-05  3.162280E-01  L
S        bond             shield    1.000000E-10  3.162280E-01  L
S        bond-huckel      charge    1.000000E-05  3.162278E-01  L
S        bond-huckel      shield    1.000000E-10  1.000000E-01  L
S        bond-only-m0     charge    1.000000E-05  1.000000E-01  L
S        bond-only-m0     shield    1.000000E-10  1.000000E-01  L
S        bond-only-s      charge    3.162278E-08  1.000000E+02  L
S        bond-only-s      shield    1.000000E-10  3.162278E+04  L
S        bond-pbe0        charge    1.000000E-10  1.000000E+00  L
S        bond-pbe0        shield    1.000000E-10  1.000000E+00  L
S        bond-same-basis  charge    1.000000E-05  1.000000E+00  L
S        bond-same-basis  shield    1.000000E-10  1.000000E+00  L
S        slatm            charge    1.000000E-05  1.000000E+02  G
S        slatm            shield    1.000000E-10  3.162278E+01  L
S        soap             charge    3.162278E-03  -             -
S        soap             shield    3.162278E-03  -             -
